name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,shipclass
AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,NULL,390,0,NULL,30000,NULL,NA,freighter
arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000,14.5,1000,3,0,110,5 days,starfighter
Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop,NULL,9.75,55,4,6,NULL,NA,craft
AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research",NULL,20,60,5,40,1000,NA,walker
AT-RT,All Terrain Recon Transport,Kuat Drive Yards,40000,3.200000048,90,1,0,20,1 day,walker
AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research",NULL,2,90,2,0,200,none,walker
AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",NULL,13.19999981,60,6,36,10000,21 days,walker
A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000,9.600000381,1300,1,0,40,1 week,starfighter
Banking clan frigate,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,0,200,NULL,40000000,2 years,cruiser
Bantha-II cargo skiff,Bantha-II,Ubrikkian Industries,8000,9.5,250,5,16,135000,1 day,craft
Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000,6.710000038,1100,1,0,140,7 days,starfighter
B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000,16.89999962,950,1,0,45,1 week,starfighter
C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering,200000,210,587,140,284,1800000,1 day,craft
Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000,1200,0,5400,1200,NULL,2 years,cruiser
Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards,350000,49.40000153,160,20,300,30000,20 days,walker
Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union,49000,10.96000004,100,0,4,NULL,none,tank
CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000,150,950,165,600,3000000,1 year,corvette
Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,0,342953,843342,1000000000000,3 years,battlestation
Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",NULL,3170,0,175,139000,4000000000,500 days,ship
Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering",60000,12.30000019,820,0,0,0,none,speeder
Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries",20000,5.400000095,1180,1,0,0,none,starfighter
EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Kuat Drive Yards,8500000,300,800,854,75,6000000,2 years,ship
Emergency Firespeeder,Fire suppression speeder,NA,NULL,NULL,NULL,2,NULL,NULL,NA,ship
Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,0,279144,38000,250000000,6 years,dreadnought
